idx,fine-grained classes,coarse classes
53,'Cadillac Escalade EXT Crew Cab 2007',Cab
54,'Chevrolet Silverado 1500 Hybrid Crew Cab 2012',Cab
65,'Chevrolet Avalanche Crew Cab 2012',Cab
69,'Chevrolet Silverado 2500HD Regular Cab 2012',Cab
70,'Chevrolet Silverado 1500 Classic Extended Cab 2007',Cab
74,'Chevrolet Silverado 1500 Extended Cab 2012',Cab
75,'Chevrolet Silverado 1500 Regular Cab 2012',Cab
86,'Dodge Ram Pickup 3500 Crew Cab 2010',Cab
87,'Dodge Ram Pickup 3500 Quad Cab 2009',Cab
90,'Dodge Dakota Crew Cab 2010',Cab
91,'Dodge Dakota Club Cab 2007',Cab
106,'Ford F-450 Super Duty Crew Cab 2012',Cab
111,'Ford Ranger SuperCab 2011',Cab
113,'Ford F-150 Regular Cab 2012',Cab
114,'Ford F-150 Regular Cab 2007',Cab
122,'GMC Canyon Extended Cab 2012',Cab
124,'HUMMER H3T Crew Cab 2010',Cab
125,'HUMMER H2 SUT Crew Cab 2009',Cab
8,Aston Martin V8 Vantage Convertible 2012',Convertible
10,'Aston Martin Virage Convertible 2012',Convertible
12,'Audi RS 4 Convertible 2008',Convertible
21,'Audi S5 Convertible 2012',Convertible
27,'BMW 1 Series Convertible 2012',Convertible
31,'BMW 6 Series Convertible 2007',Convertible
36,'BMW M6 Convertible 2010',Convertible
38,'BMW Z4 Convertible 2012',Convertible
39,'Bentley Continental Supersports Conv. Convertible 2012',Convertible
45,'Bugatti Veyron 16.4 Convertible 2009',Convertible
55,'Chevrolet Corvette Convertible 2012',Convertible
59,'Chevrolet Camaro Convertible 2012',Convertible
77,'Chrysler Sebring Convertible 2010',Convertible
80,'Chrysler Crossfire Convertible 2008',Convertible
81,'Chrysler PT Cruiser Convertible 2008',Convertible
100,'FIAT 500 Convertible 2012',Convertible
102,'Ferrari California Convertible 2012',Convertible
103,'Ferrari 458 Italia Convertible 2012',Convertible
107,'Ford Mustang Convertible 2007',Convertible
123,'Geo Metro Convertible 1993',Convertible
157,'MINI Cooper Roadster Convertible 2012',Convertible
158,'Maybach Landaulet Convertible 2012',Convertible
161,'Mercedes-Benz 300-Class Convertible 1993',Convertible
175,'Rolls-Royce Phantom Drophead Coupe Convertible 2012',Convertible
179,'Spyker C8 Convertible 2009',Convertible
196,smart fortwo Convertible 2012',Convertible
6,Acura Integra Type R 2001',Coupe
9,Aston Martin V8 Vantage Coupe 2012',Coupe
11,'Aston Martin Virage Coupe 2012',Coupe
