Variants,Families,Manufactures,family label,Manufactures label,folder name,variant label
A300B4,A300,Airbus,1,1,1,1
A310,A310,Airbus,2,1,2,2
A318,A320,Airbus,3,1,3,3
A319,A320,Airbus,3,1,4,4
A320,A320,Airbus,3,1,5,5
A321,A320,Airbus,3,1,6,6
A330-200,A330,Airbus,4,1,7,7
A330-300,A330,Airbus,4,1,8,8
A340-200,A340,Airbus,5,1,9,9
A340-300,A340,Airbus,5,1,10,10
A340-500,A340,Airbus,5,1,11,11
A340-600,A340,Airbus,5,1,12,12
A380,A380,Airbus,6,1,13,13
An-12,An-12,Antonov,7,2,14,14
ATR-42,ATR-42,ATR,8,3,15,15
ATR-72,ATR-72,ATR,9,3,16,16
BAE 146-200,BAE 146,British Aerospace,10,7,17,17
BAE 146-300,BAE 146,British Aerospace,10,7,18,18
BAE-125,BAE-125,British Aerospace,11,7,19,19
Beechcraft 1900,Beechcraft 1900,Beechcraft,12,4,20,20
707-320,Boeing 707,Boeing,13,5,21,21
Boeing 717,Boeing 717,Boeing,14,5,22,22
727-200,Boeing 727,Boeing,15,5,23,23
737-200,Boeing 737,Boeing,16,5,24,24
737-300,Boeing 737,Boeing,16,5,25,25
737-400,Boeing 737,Boeing,16,5,26,26
737-500,Boeing 737,Boeing,16,5,27,27
737-600,Boeing 737,Boeing,16,5,28,28
737-700,Boeing 737,Boeing,16,5,29,29
737-800,Boeing 737,Boeing,16,5,30,30
737-900,Boeing 737,Boeing,16,5,31,31
747-100,Boeing 747,Boeing,17,5,32,32
747-200,Boeing 747,Boeing,17,5,33,33
747-300,Boeing 747,Boeing,17,5,34,34
747-400,Boeing 747,Boeing,17,5,35,35
757-200,Boeing 757,Boeing,18,5,36,36
757-300,Boeing 757,Boeing,18,5,37,37
767-200,Boeing 767,Boeing,19,5,38,38
767-300,Boeing 767,Boeing,19,5,39,39
767-400,Boeing 767,Boeing,19,5,40,40
777-200,Boeing 777,Boeing,20,5,41,41
777-300,Boeing 777,Boeing,20,5,42,42
C-130,C-130,Lockheed Corporation,21,21,43,43
C-47,C-47,Douglas Aircraft Company,22,14,44,44
Cessna 172,Cessna 172,Cessna,23,9,45,45
Cessna 208,Cessna 208,Cessna,24,9,46,46
Cessna 525,Cessna Citation,Cessna,25,9,47,47
Cessna 560,Cessna Citation,Cessna,25,9,48,48
Challenger 600,Challenger 600,Canadair,26,8,49,49
CRJ-200,CRJ-200,Canadair,27,8,50,50
CRJ-700,CRJ-700,Canadair,28,8,51,51
CRJ-900,CRJ-700,Canadair,28,8,52,52
DHC-8-100,Dash 8,de Havilland,29,12,53,53
DHC-8-300,Dash 8,de Havilland,29,12,54,54
DC-10,DC-10,McDonnell Douglas,30,23,55,55
DC-3,DC-3,Douglas Aircraft Company,31,14,56,56
DC-6,DC-6,Douglas Aircraft Company,32,14,57,57
DC-8,DC-8,Douglas Aircraft Company,33,14,58,58
DC-9-30,DC-9,McDonnell Douglas,34,23,59,59
DH-82,DH-82,de Havilland,35,12,60,60
DHC-1,DHC-1,de Havilland,36,12,61,61
DHC-6,DHC-6,de Havilland,37,12,62,62
Dornier 328,Dornier 328,Dornier,38,13,63,63
DR-400,DR-400,Robin,39,26,64,64
EMB-120,EMB-120,Embraer,40,15,65,65
E-170,Embraer E-Jet,Embraer,41,15,66,66
E-190,Embraer E-Jet,Embraer,41,15,67,67
E-195,Embraer E-Jet,Embraer,41,15,68,68
ERJ 135,Embraer ERJ 145,Embraer,42,15,69,69
ERJ 145,Embraer ERJ 145,Embraer,42,15,70,70
Embraer Legacy 600,Embraer Legacy 600,Embraer,43,15,71,71
Eurofighter Typhoon,Eurofighter Typhoon,Eurofighter,44,16,72,72
F/A-18,F/A-18,McDonnell Douglas,45,23,73,73
F-16A/B,F-16,Lockheed Martin,46,22,74,74
Falcon 2000,Falcon 2000,Dassault Aviation,47,11,75,75
Falcon 900,Falcon 900,Dassault Aviation,48,11,76,76
Fokker 100,Fokker 100,Fokker,49,18,77,77
Fokker 50,Fokker 50,Fokker,50,18,78,78
Fokker 70,Fokker 70,Fokker,51,18,79,79
Global Express,Global Express,Bombardier Aerospace,52,6,80,80
Gulfstream IV,Gulfstream,Gulfstream Aerospace,53,19,81,81
Gulfstream V,Gulfstream,Gulfstream Aerospace,53,19,82,82
Hawk T1,Hawk T1,British Aerospace,54,7,83,83
Il-76,Il-76,Ilyushin,55,20,84,84
Model B200,King Air,Beechcraft,56,4,85,85
L-1011,L-1011,Lockheed Corporation,57,21,86,86
MD-11,MD-11,McDonnell Douglas,58,23,87,87
MD-80,MD-80,McDonnell Douglas,59,23,88,88
MD-87,MD-80,McDonnell Douglas,59,23,89,89
MD-90,MD-90,McDonnell Douglas,60,23,90,90
Metroliner,Metroliner,Fairchild,61,17,91,91
PA-28,PA-28,Piper,62,25,92,92
Saab 2000,Saab 2000,Saab,63,27,93,93
Saab 340,Saab 340,Saab,64,27,94,94
Spitfire,Spitfire,Supermarine,65,28,95,95
SR-20,SR-20,Cirrus Aircraft,66,10,96,96
Tornado,Tornado,Panavia,67,24,97,97
Tu-134,Tu-134,Tupolev,68,29,98,98
Tu-154,Tu-154,Tupolev,69,29,99,99
Yak-42,Yak-42,Yakovlev,70,30,100,100
