prompt,classname,classidx
"a photo of a Black_footed_Albatross, a type of bird.",Black_footed_Albatross,0
"a photo of a Laysan_Albatross, a type of bird.",Laysan_Albatross,1
"a photo of a Sooty_Albatross, a type of bird.",Sooty_Albatross,2
"a photo of a Groove_billed_Ani, a type of bird.",Groove_billed_Ani,3
"a photo of a Crested_Auklet, a type of bird.",Crested_Auklet,4
"a photo of a Least_Auklet, a type of bird.",Least_Auklet,5
"a photo of a Parakeet_Auklet, a type of bird.",Parakeet_Auklet,6
"a photo of a Rhinoceros_Auklet, a type of bird.",Rhinoceros_Auklet,7
"a photo of a Brewer_Blackbird, a type of bird.",Brewer_Blackbird,8
"a photo of a Red_winged_Blackbird, a type of bird.",Red_winged_Blackbird,9
"a photo of a Rusty_Blackbird, a type of bird.",Rusty_Blackbird,10
"a photo of a Yellow_headed_Blackbird, a type of bird.",Yellow_headed_Blackbird,11
"a photo of a Bobolink, a type of bird.",Bobolink,12
"a photo of a Indigo_Bunting, a type of bird.",Indigo_Bunting,13
"a photo of a Lazuli_Bunting, a type of bird.",Lazuli_Bunting,14
"a photo of a Painted_Bunting, a type of bird.",Painted_Bunting,15
"a photo of a Cardinal, a type of bird.",Cardinal,16
"a photo of a Spotted_Catbird, a type of bird.",Spotted_Catbird,17
"a photo of a Gray_Catbird, a type of bird.",Gray_Catbird,18
"a photo of a Yellow_breasted_Chat, a type of bird.",Yellow_breasted_Chat,19
"a photo of a Eastern_Towhee, a type of bird.",Eastern_Towhee,20
"a photo of a Chuck_will_Widow, a type of bird.",Chuck_will_Widow,21
"a photo of a Brandt_Cormorant, a type of bird.",Brandt_Cormorant,22
"a photo of a Red_faced_Cormorant, a type of bird.",Red_faced_Cormorant,23
"a photo of a Pelagic_Cormorant, a type of bird.",Pelagic_Cormorant,24
"a photo of a Bronzed_Cowbird, a type of bird.",Bronzed_Cowbird,25
"a photo of a Shiny_Cowbird, a type of bird.",Shiny_Cowbird,26
"a photo of a Brown_Creeper, a type of bird.",Brown_Creeper,27
"a photo of a American_Crow, a type of bird.",American_Crow,28
"a photo of a Fish_Crow, a type of bird.",Fish_Crow,29
"a photo of a Black_billed_Cuckoo, a type of bird.",Black_billed_Cuckoo,30
"a photo of a Mangrove_Cuckoo, a type of bird.",Mangrove_Cuckoo,31
"a photo of a Yellow_billed_Cuckoo, a type of bird.",Yellow_billed_Cuckoo,32
"a photo of a Gray_crowned_Rosy_Finch, a type of bird.",Gray_crowned_Rosy_Finch,33
"a photo of a Purple_Finch, a type of bird.",Purple_Finch,34
"a photo of a Northern_Flicker, a type of bird.",Northern_Flicker,35
"a photo of a Acadian_Flycatcher, a type of bird.",Acadian_Flycatcher,36
"a photo of a Great_Crested_Flycatcher, a type of bird.",Great_Crested_Flycatcher,37
"a photo of a Least_Flycatcher, a type of bird.",Least_Flycatcher,38
"a photo of a Olive_sided_Flycatcher, a type of bird.",Olive_sided_Flycatcher,39
"a photo of a Scissor_tailed_Flycatcher, a type of bird.",Scissor_tailed_Flycatcher,40
"a photo of a Vermilion_Flycatcher, a type of bird.",Vermilion_Flycatcher,41
"a photo of a Yellow_bellied_Flycatcher, a type of bird.",Yellow_bellied_Flycatcher,42
"a photo of a Frigatebird, a type of bird.",Frigatebird,43
"a photo of a Northern_Fulmar, a type of bird.",Northern_Fulmar,44
"a photo of a Gadwall, a type of bird.",Gadwall,45
"a photo of a American_Goldfinch, a type of bird.",American_Goldfinch,46
"a photo of a European_Goldfinch, a type of bird.",European_Goldfinch,47
"a photo of a Boat_tailed_Grackle, a type of bird.",Boat_tailed_Grackle,48
"a photo of a Eared_Grebe, a type of bird.",Eared_Grebe,49
"a photo of a Horned_Grebe, a type of bird.",Horned_Grebe,50
"a photo of a Pied_billed_Grebe, a type of bird.",Pied_billed_Grebe,51
"a photo of a Western_Grebe, a type of bird.",Western_Grebe,52
"a photo of a Blue_Grosbeak, a type of bird.",Blue_Grosbeak,53
"a photo of a Evening_Grosbeak, a type of bird.",Evening_Grosbeak,54
"a photo of a Pine_Grosbeak, a type of bird.",Pine_Grosbeak,55
"a photo of a Rose_breasted_Grosbeak, a type of bird.",Rose_breasted_Grosbeak,56
"a photo of a Pigeon_Guillemot, a type of bird.",Pigeon_Guillemot,57
"a photo of a California_Gull, a type of bird.",California_Gull,58
"a photo of a Glaucous_winged_Gull, a type of bird.",Glaucous_winged_Gull,59
"a photo of a Heermann_Gull, a type of bird.",Heermann_Gull,60
"a photo of a Herring_Gull, a type of bird.",Herring_Gull,61
"a photo of a Ivory_Gull, a type of bird.",Ivory_Gull,62
"a photo of a Ring_billed_Gull, a type of bird.",Ring_billed_Gull,63
"a photo of a Slaty_backed_Gull, a type of bird.",Slaty_backed_Gull,64
"a photo of a Western_Gull, a type of bird.",Western_Gull,65
"a photo of a Anna_Hummingbird, a type of bird.",Anna_Hummingbird,66
"a photo of a Ruby_throated_Hummingbird, a type of bird.",Ruby_throated_Hummingbird,67
"a photo of a Rufous_Hummingbird, a type of bird.",Rufous_Hummingbird,68
"a photo of a Green_Violet_ear, a type of bird.",Green_Violet_ear,69
"a photo of a Long_tailed_Jaeger, a type of bird.",Long_tailed_Jaeger,70
"a photo of a Pomarine_Jaeger, a type of bird.",Pomarine_Jaeger,71
"a photo of a Blue_Jay, a type of bird.",Blue_Jay,72
"a photo of a Florida_Jay, a type of bird.",Florida_Jay,73
"a photo of a Green_Jay, a type of bird.",Green_Jay,74
"a photo of a Dark_eyed_Junco, a type of bird.",Dark_eyed_Junco,75
"a photo of a Tropical_Kingbird, a type of bird.",Tropical_Kingbird,76
"a photo of a Gray_Kingbird, a type of bird.",Gray_Kingbird,77
"a photo of a Belted_Kingfisher, a type of bird.",Belted_Kingfisher,78
"a photo of a Green_Kingfisher, a type of bird.",Green_Kingfisher,79
"a photo of a Pied_Kingfisher, a type of bird.",Pied_Kingfisher,80
"a photo of a Ringed_Kingfisher, a type of bird.",Ringed_Kingfisher,81
"a photo of a White_breasted_Kingfisher, a type of bird.",White_breasted_Kingfisher,82
"a photo of a Red_legged_Kittiwake, a type of bird.",Red_legged_Kittiwake,83
"a photo of a Horned_Lark, a type of bird.",Horned_Lark,84
"a photo of a Pacific_Loon, a type of bird.",Pacific_Loon,85
