prompt,classname,classidx
"a photo of a Abyssinian cat, a type of pet.",abyssinian,0
"a photo of a Bengal cat, a type of pet.",bengal,5
"a photo of a Birman cat, a type of pet.",birman,6
"a photo of a Bombay cat, a type of pet.",bombay,7
"a photo of a British Shorthair cat, a type of pet.",british shorthair,9
"a photo of a Egyptian Mau cat, a type of pet.",egyptian mau,11
"a photo of a Maine Coon cat, a type of pet.",maine coon,20
"a photo of a Persian cat, a type of pet.",persian,23
"a photo of a Ragdoll cat, a type of pet.",ragdoll,26
"a photo of a Russian Blue cat, a type of pet.",russian blue,27
"a photo of a Siamese cat, a type of pet.",siamese,32
"a photo of a Sphynx cat, a type of pet.",sphynx,33
